  #ID,  diet code,   Nf_g,   Cw_g,   Cd_g,   Nm_g,   Cm_g
    0, 60-20-20-2, 1.197731, 0.076154, 0.178766, 0.046394, 0.185575
    1, 60-20-20-2, 0.982030, 0.062440, 0.146572, 0.046394, 0.185575
    2, 33-48-20-2, 0.680518, 0.654957, 0.185225, 0.046394, 0.185575
    3, 33-48-20-2, 0.632673, 0.608909, 0.172203, 0.046394, 0.185575
    4, 33-20-48-2, 0.817274, 0.094718, 0.222448, 0.046394, 0.185575
    5, 33-20-48-2, 0.732587, 0.084904, 0.199398, 0.046394, 0.185575
    6, 14-29-57-2, 0.314731, 0.286961, 0.201235, 0.046394, 0.185575
    7, 14-29-57-2, 0.291951, 0.266191, 0.186669, 0.046394, 0.185575
    8, 14-57-29-2, 0.312006, 0.905295, 0.199492, 0.046394, 0.185575
    9, 14-57-29-2, 0.265760, 0.771112, 0.169923, 0.046394, 0.185575
   10, 42-29-29-2, 0.879864, 0.267524, 0.187604, 0.046394, 0.185575
   11, 42-29-29-2, 0.786411, 0.239109, 0.167678, 0.046394, 0.185575
   12, 23-38-38-2, 0.556040, 0.523256, 0.215687, 0.046394, 0.185575
   13, 23-38-38-2, 0.475069, 0.447058, 0.184278, 0.046394, 0.185575
   14, 60-20-20-3, 1.254472, 0.079812, 0.187645, 0.046394, 0.185575
   15, 60-20-20-3, 1.173393, 0.074653, 0.175518, 0.046394, 0.185575
   16,  5-75-20-3, 0.141625, 1.656859, 0.253446, 0.046394, 0.185575
   17,  5-75-20-3, 0.119111, 1.393465, 0.213155, 0.046394, 0.185575
   18, 33-48-20-3, 0.885561, 0.850600, 0.240554, 0.046394, 0.185575
   19, 33-48-20-3, 0.742107, 0.712810, 0.201587, 0.046394, 0.185575
   20, 33-20-48-3, 0.845447, 0.097804, 0.229658, 0.046394, 0.185575
   21, 33-20-48-3, 0.792841, 0.091718, 0.215368, 0.046394, 0.185575
   22, 14-29-57-3, 0.433507, 0.393729, 0.276236, 0.046394, 0.185575
   23, 14-29-57-3, 0.347889, 0.315967, 0.221679, 0.046394, 0.185575
   24, 14-57-29-3, 0.362715, 1.048700, 0.231127, 0.046394, 0.185575
   25, 14-57-29-3, 0.314614, 0.909628, 0.200476, 0.046394, 0.185575
   26, 42-29-29-3, 1.030805, 0.312693, 0.219382, 0.046394, 0.185575
   27, 42-29-29-3, 0.943285, 0.286144, 0.200756, 0.046394, 0.185575
   28, 23-38-38-3, 0.708660, 0.668595, 0.275672, 0.046394, 0.185575
   29, 23-38-38-3, 0.474243, 0.447431, 0.184482, 0.046394, 0.185575
   30, 60-20-20-4, 1.704550, 0.108267, 0.254240, 0.046394, 0.185575
   31, 60-20-20-4, 1.455247, 0.092432, 0.217056, 0.046394, 0.185575
   32,  5-75-20-4, 0.161281, 1.889121, 0.289131, 0.046394, 0.185575
   33,  5-75-20-4, 0.133433, 1.562936, 0.239208, 0.046394, 0.185575
   34,  5-20-75-4, 0.141832, 0.108197, 0.254043, 0.046394, 0.185575
   35,  5-20-75-4, 0.183147, 0.139714, 0.328045, 0.046394, 0.185575
   36, 33-48-20-4, 1.058529, 1.015219, 0.286923, 0.046394, 0.185575
   37, 33-48-20-4, 0.826574, 0.792755, 0.224050, 0.046394, 0.185575
   38, 33-20-48-4, 0.930654, 0.107591, 0.252621, 0.046394, 0.185575
   39, 33-20-48-4, 0.816539, 0.094398, 0.221645, 0.046394, 0.185575
   40,  5-48-48-4, 0.163133, 1.041521, 0.294465, 0.046394, 0.185575
   41,  5-48-48-4, 0.161997, 1.034264, 0.292413, 0.046394, 0.185575
   42, 14-29-57-4, 0.532250, 0.485598, 0.340531, 0.046394, 0.185575
   43, 14-29-57-4, 0.447610, 0.408376, 0.286379, 0.046394, 0.185575
   44, 14-57-29-4, 0.395408, 1.147770, 0.252980, 0.046394, 0.185575
   45, 14-57-29-4, 0.366874, 1.064945, 0.234724, 0.046394, 0.185575
   46, 42-29-29-4, 1.074802, 0.326864, 0.229218, 0.046394, 0.185575
   47, 42-29-29-4, 1.055284, 0.320929, 0.225055, 0.046394, 0.185575
   48, 23-38-38-4, 0.831412, 0.785439, 0.323759, 0.046394, 0.185575
   49, 23-38-38-4, 0.772607, 0.729885, 0.300859, 0.046394, 0.185575
   50, 60-20-20-2, 1.106131, 0.070330, 0.165094, 0.046394, 0.185575
   51, 60-20-20-2, 1.009245, 0.064170, 0.150634, 0.046394, 0.185575
   52, 33-48-20-2, 0.811095, 0.780629, 0.220766, 0.046394, 0.185575
   53, 33-48-20-2, 0.656572, 0.631911, 0.178708, 0.046394, 0.185575
   54, 33-20-48-2, 0.728570, 0.084438, 0.198304, 0.046394, 0.185575
   55, 33-20-48-2, 0.699509, 0.081070, 0.190394, 0.046394, 0.185575
   56, 14-29-57-2, 0.269310, 0.245548, 0.172193, 0.046394, 0.185575
   57, 14-29-57-2, 0.299369, 0.272954, 0.191412, 0.046394, 0.185575
   58, 14-57-29-2, 0.326113, 0.946229, 0.208512, 0.046394, 0.185575
   59, 14-57-29-2, 0.295024, 0.856023, 0.188635, 0.046394, 0.185575
   60, 42-29-29-2, 0.962739, 0.292722, 0.205275, 0.046394, 0.185575
   61, 42-29-29-2, 0.769160, 0.233864, 0.164000, 0.046394, 0.185575
   62, 23-38-38-2, 0.519908, 0.489254, 0.201671, 0.046394, 0.185575
   63, 23-38-38-2, 0.496954, 0.467653, 0.192767, 0.046394, 0.185575
   64, 60-20-20-3, 1.405973, 0.089451, 0.210307, 0.046394, 0.185575
   65, 60-20-20-3, 1.156149, 0.073556, 0.172938, 0.046394, 0.185575
   66,  5-75-20-3, 0.133328, 1.559785, 0.238597, 0.046394, 0.185575
   67,  5-75-20-3, 0.111637, 1.306031, 0.199780, 0.046394, 0.185575
   68, 33-48-20-3, 0.888835, 0.853745, 0.241444, 0.046394, 0.185575
   69, 33-48-20-3, 0.745055, 0.715642, 0.202387, 0.046394, 0.185575
   70, 33-20-48-3, 0.918684, 0.106276, 0.249552, 0.046394, 0.185575
   71, 33-20-48-3, 0.769204, 0.088984, 0.208947, 0.046394, 0.185575
   72, 14-29-57-3, 0.397565, 0.361085, 0.253334, 0.046394, 0.185575
