Mouse_identifier,Cage.No,Sex,P.C.F,Diet.Code,Sequence_run_identifier,Energy.density,Energy,Prot.in.diet,CHO.in.diet,Fat.in.diet,eaten,eaten.P,eaten.C,eaten.F,eaten.energy,Mouse_DNAsample_identifier,Mouse_biologicalsample_identifier,Biological.sample,Clostridia,Bacteroidia,Deferribacteres,Bacilli,Gammaproteobacteria,Firmicutes,Verrucomicrobiae,Mollicutes,Tenericutes,Spirochaetes,Deltaproteobacteria,Erysipelotrichi,Actinobacteria,Alphaproteobacteria,Betaproteobacteria,Sphingobacteria,Negativicutes,Cytophagia,Holophagae,Flavobacteria,TM7,Deinococci,Cyanobacteria,Synergistia,Epsilonproteobacteria,Ktedonobacteria,Fusobacteria,Solibacteres,Chlorobia,Acidobacteria,Gemmatimonadetes,BRC1,Thermolithobacteria,Chlamydiae,WS3,Chloroflexi,Opitutae,Aquificae,Elusimicrobia,Total Reads
101,1,M,60/20/20,SF09-043,TRTL_0211_1,2 kcal,LOW,5029.5,1673.6,1673.6,3.58,17.98,5.99,5.99,29.95,101_cecum_1,101_cecum,cecum,67.41,11.52,11.46,4.9,3.02,0.72,0.4,0.32,0.22,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10247
102,2,F,60/20/20,SF09-043,TRTL_0211_59,2 kcal,LOW,5029.5,1673.6,1673.6,2.93,14.75,4.91,4.91,24.56,102_cecum_1,102_cecum,cecum,57.22,26.53,8.55,1.78,0.57,3.01,1.86,0.32,0.05,0,0.03,0.03,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7883
103,13,M,14/29/57,SF09-061,TRTL_0211_60,2 kcal,LOW,1173.55,2426.72,4769.76,4.02,4.72,9.77,19.2,33.69,103_cecum_1,103_cecum,cecum,68.09,8.91,4.45,1.96,5.25,2.29,7.76,0.55,0.67,0.02,0.04,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10054
104,79,M,23/38/38,SF09-070,TRTL_0211_4,2 kcal,LOW,1927.97,3179.84,3179.84,4.03,7.78,12.83,12.83,33.43,104_cecum_1,104_cecum,cecum,56.74,15.69,7.1,4.46,1.47,1.96,10.49,1.82,0.19,0.05,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3678
105,8,F,33/48/20,SF09-052,TRTL_0211_61,2 kcal,LOW,2766.23,4016.64,1673.6,3.44,9.53,13.83,5.77,29.13,105_cecum_1,105_cecum,cecum,43.55,22.14,30.66,0.93,0.58,0.47,1.03,0.33,0.21,0.05,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7641
106,10,F,33/20/48,SF09-055,TRTL_0211_6,2 kcal,LOW,2766.23,1673.6,4016.64,3.99,11.03,6.68,16.02,33.73,106_cecum_1,106_cecum,cecum,47.76,33.73,5.53,1.11,0.3,0.57,10.28,0.39,0.03,0.01,0.03,0.2,0.01,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7663
107,14,F,14/29/57,SF09-061,TRTL_0211_7,2 kcal,LOW,1173.55,2426.72,4769.76,3.73,4.38,9.06,17.81,31.25,107_cecum_1,107_cecum,cecum,61.84,13.78,5.36,0.77,0.93,0.29,16.21,0.11,0.12,0.18,0,0.41,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16729
108,16,F,14/57/29,SF09-064,TRTL_0211_62,2 kcal,LOW,1173.55,4769.76,2426.72,3.4,3.99,16.21,8.25,28.45,108_cecum_1,108_cecum,cecum,44.64,39.57,0.02,1.6,0.89,1.22,11.7,0.01,0,0,0.02,0.15,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8746
109,18,F,42/29/29,SF09-067,TRTL_0211_63,2 kcal,LOW,3520.65,2426.72,2426.72,3.35,11.81,8.14,8.14,28.09,109_cecum_1,109_cecum,cecum,57.91,29.37,8.4,0.74,0.38,0.75,1.93,0.1,0,0.31,0.01,0,0.01,0.01,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6795
110,20,F,23/38/38,SF09-070,TRTL_0211_10,2 kcal,LOW,1927.97,3179.84,3179.84,3.69,7.11,11.72,11.72,30.55,110_cecum_1,110_cecum,cecum,53.61,23.71,11,5.14,0.24,0.97,4.18,0.93,0.08,0,0.03,0.09,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7917
111,21,M,60/20/20,SF09-044,TRTL_0211_11,3 kcal,MED,7544.25,2510.4,2510.4,2.5,18.87,6.28,6.28,31.43,111_cecum_1,111_cecum,cecum,66.57,12.25,9.69,1.96,4.06,3.44,1.12,0.09,0,0.05,0.01,0.01,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7412
112,22,F,60/20/20,SF09-044,TRTL_0211_12,3 kcal,MED,7544.25,2510.4,2510.4,2.34,17.65,5.87,5.87,29.4,112_cecum_1,112_cecum,cecum,68.28,25.82,3.35,0.33,0.05,1.81,0.06,0,0,0,0.01,0.25,0.01,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7991
113,24,F,5/75/20,sf09-047,TRTL_0211_13,3 kcal,med,628.69,9414,2510.4,2.84,1.79,26.76,7.13,35.68,113_cecum_1,113_cecum,cecum,68.49,16.3,8.38,3.01,2.57,0.65,0,0.3,0.16,0.01,0.01,0.11,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8769
114,27,M,33/48/20,SF09-053,TRTL_0211_14,3 kcal,MED,4149.34,6024.96,2510.4,3.21,13.31,19.32,8.05,40.68,114_cecum_1,114_cecum,cecum,88.75,4.03,1.36,2.45,0.08,2.86,0.08,0.29,0,0,0.02,0.05,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9650
115,28,F,33/48/20,SF09-053,TRTL_0211_15,3 kcal,MED,4149.34,6024.96,2510.4,2.69,11.15,16.19,6.75,34.09,115_cecum_1,115_cecum,cecum,73.97,19.77,1.09,0.95,0.23,2.7,0,1.17,0.05,0,0,0.01,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7365
