Mouse_identifier,Cage No,Sex,%P/%C/%F,Diet Code,Sequence_run_identifier,Energy density,Energy,Prot in diet (kJ/kg D.wt),CHO in diet (kJ/kg D.wt),Fat in diet (kJ/kg D.wt),Food eaten g/mouse/d,eaten.P,eaten.C,eaten.F,Total Energy intake (kJ/d),Mouse_DNAsample_identifier,Mouse_biologicalsample_identifier,Firmicutes_Phylum,Bacteroidetes_Phylum,Clostridia_Class,Bacillae_Class,Erysipelotrichia_Class,Deferribacteres_Class,Verrucomicrobia_Class,Lachnospiraceae_Family,Clostridiaceae_Family,Ruminococcaceae_Family,Eubacteriaceae_Family,Rikenellaceae_Family,Bacteroidaceae_Family,Total_reads
101,1,M,60/20/20,SF09-043,TRTL_0211_1,2 kcal,LOW,5029.5,1673.6,1673.6,3.58,17.98,5.99,5.99,29.95,101_cecum_1,101_cecum,73,11.5,67.4,4.9,0,11.5,0.4,24.7,19.8,8.1,7.1,2.9,8.1,10247
102,2,F,60/20/20,SF09-043,TRTL_0211_2,2 kcal,LOW,5029.5,1673.6,1673.6,2.93,14.75,4.91,4.91,24.56,102_cecum_1,102_cecum,63.9,24.6,60.9,1.5,0,8,2.4,19.8,23.2,6.9,7.5,8.2,15.5,8543
141,61,M,60/20/20,SF09-043,TRTL_0211_41,2 kcal,LOW,5029.5,1673.6,1673.6,3.3,16.61,5.53,5.53,27.66,141_cecum_1,141_cecum,54.5,21.4,51.5,1.5,0,20.5,2.2,10.8,14.8,8.8,5,3.9,16.6,7852
142,62,F,60/20/20,SF09-043,TRTL_0211_42,2 kcal,LOW,5029.5,1673.6,1673.6,3.01,15.15,5.04,5.04,25.24,142_cecum_1,142_cecum,57.1,24.2,53.9,1.1,0,16.3,0.4,20.4,15.3,8.5,5.6,8.1,15.4,13638
169,121,M,60/20/20,SF09-043,TRTL_0711_11,2 kcal,LOW,5029.5,1673.6,1673.6,3.32,16.7,5.56,5.56,27.82,169_cecum_1,169_cecum,40.6,44.1,38.7,1.9,0,1.4,12.5,4.7,12.2,9.3,8.9,3.4,9.7,8074
170,122,F,60/20/20,SF09-043,TRTL_0711_12,2 kcal,LOW,5029.5,1673.6,1673.6,2.8,14.09,4.69,4.69,23.47,170_cecum_1,170_cecum,44.1,39.8,42.6,1.6,0,8,3.4,4.1,8.1,12.6,13.3,3,16.4,18639
111,21,M,60/20/20,SF09-044,TRTL_0211_11,3 kcal,MED,7544.25,2510.4,2510.4,2.5,18.87,6.28,6.28,31.43,111_cecum_1,111_cecum,72,12.3,66.6,2,0,9.7,1.1,15.7,39.4,4.6,3.2,2.7,9,7412
112,22,F,60/20/20,SF09-044,TRTL_0211_12,3 kcal,MED,7544.25,2510.4,2510.4,2.34,17.65,5.87,5.87,29.4,112_cecum_1,112_cecum,70.7,25.8,68.3,0.3,0.3,3.4,0.1,4.9,43.6,3.4,10.6,1.8,23.5,7991
145,82,F,60/20/20,SF09-044,TRTL_0211_45,3 kcal,MED,7544.25,2510.4,2510.4,2.31,17.4,5.79,5.79,28.97,145_cecum_1,145_cecum,53.3,42.3,50.5,0.6,0,4.3,0,7.2,30.1,4.9,4.3,5.4,35.6,12011
180,137,M,60/20/20,SF09-044,TRTL_0711_22,3 kcal,MED,7544.25,2510.4,2510.4,3.05,23,7.65,7.65,38.31,180_cecum_1,180_cecum,83.1,14.2,80.3,2.7,0.1,0,0,9.4,54,9.7,5.7,1.2,5.2,8590
181,138,F,60/20/20,SF09-044,TRTL_0711_23,3 kcal,MED,7544.25,2510.4,2510.4,2.3,17.34,5.77,5.77,28.88,181_cecum_1,181_cecum,92,6.9,87.8,4.2,0,0.3,0,5.4,67.3,7.5,6,0.2,2.8,9887
125,41,M,60/20/20,SF09-045,TRTL_0211_25,4 kcal,High,10059.01,3347.2,3347.2,2.57,25.82,8.59,8.59,43,125_cecum_1,125_cecum,95.7,2.3,81.3,0.1,13.7,0,1,0.6,20.9,2.9,1.1,0.2,1.1,15850
126,42,F,60/20/20,SF09-045,TRTL_0211_26,4 kcal,High,10059.01,3347.2,3347.2,2.19,22.04,7.33,7.33,36.71,126_cecum_1,126_cecum,96.8,0.7,81.1,0.2,12.7,0,2.1,0.1,40.7,1.6,0.4,0,0.5,20517
159,102,F,60/20/20,SF09-045,TRTL_0711_1,4 kcal,High,10059.01,3347.2,3347.2,2.13,21.39,7.12,7.12,35.62,159_cecum_1,159_cecum,96.4,1.6,61.3,9.7,25.4,0,0,0.6,55.4,0.6,4.2,0,1.2,22573
194,155,M,60/20/20,SF09-045,TRTL_0711_36,4 kcal ,High,10059.01,3347.2,3347.2,2.56,25.77,8.58,8.58,42.92,194_cecum_1,194_cecum,81.5,15.8,75.2,1.9,4.4,0,0,0.3,69.4,2.4,2.4,0,14.5,11910
113,24,F,5/75/20,sf09-047,TRTL_0211_13,3 kcal,med,628.69,9414,2510.4,2.84,1.79,26.76,7.13,35.68,113_cecum_1,113_cecum,72.3,16.3,68.5,3,0.1,8.4,0,16.8,30.6,5.6,9.2,3.6,12.3,8769
146,83,M,5/75/20,sf09-047,TRTL_0211_46,3 kcal,med,628.69,9414,2510.4,3.18,2,29.95,7.99,39.93,146_cecum_1,146_cecum,59.4,21.1,54.6,1.1,0.8,7.5,0,15.6,12,8.7,13.4,2.4,16.7,9806
147,84,F,5/75/20,sf09-047,TRTL_0211_47,3 kcal,med,628.69,9414,2510.4,2.66,1.68,25.08,6.69,33.44,147_cecum_1,147_cecum,61.3,25.1,59.6,0.6,0.1,6.2,0,13,32.6,5.2,6.9,1.4,22.1,14761
182,139,M,5/75/20,sf09-047,TRTL_0711_24,3 kcal,med,628.69,9414,2510.4,3.02,1.9,28.41,7.58,37.89,182_cecum_1,182_cecum,89.3,7,84.2,4.5,0.6,0,0,11.4,43,15.2,10.3,0.5,2.2,13582
183,140,F,5/75/20,sf09-047,TRTL_0711_25,3 kcal,med,628.69,9414,2510.4,3.14,1.98,29.6,7.89,39.47,183_cecum_1,183_cecum,71.3,7.7,68.1,2.6,0.5,17,0.1,8.3,34.7,11.2,9,0.8,3.7,20596
127,43,M,5/75/20,sf09-048,TRTL_0211_27,4 kcal,high,838.25,12552,3347.2,2.91,2.44,36.49,9.73,48.65,127_cecum_1,127_cecum,91.6,6.5,87.3,0.3,3.6,0.2,0,4.7,43.2,3.1,1.9,0.5,3.1,14187
128,44,F,5/75/20,sf09-048,TRTL_0211_28,4 kcal,high,838.25,12552,3347.2,2.41,2.02,30.19,8.05,40.25,128_cecum_1,128_cecum,93.9,4.9,88.9,0.2,3.9,0.1,0.8,2.7,81.1,2.3,0.7,0.1,1.7,17199
