Mouse_identifier,Cage.No,Sex,P.C.F,Diet.Code,Sequence_run_identifier,Energy.density,Energy,Prot.in.diet,CHO.in.diet,Fat.in.diet,eaten,eaten.P,eaten.C,eaten.F,eaten.energy,Mouse_DNAsample_identifier,Mouse_biologicalsample_identifier,Biological.sample,Lachnospiraceae,Clostridiaceae,Deferribacteraceae,Ruminococcaceae,Bacteroidaceae,Eubacteriaceae,Clostridiales,Enterobacteriaceae,Rikenellaceae,Thermoactinomycetaceae,Lactobacillales,Porphyromonadaceae,Oscillospiraceae,Paenibacillaceae,Verrucomicrobiaceae,Peptococcaceae,Anaeroplasmataceae,Bacillaceae,Acholeplasmataceae,Lactobacillaceae,Clostridia,Thermoanaerobacteraceae,Streptococcaceae,Planococcaceae,Bacillales,Catabacteriaceae,Aerococcaceae,Bacteroidales,Mollicutes,Spirochaetaceae,Desulfovibrionaceae,Erysipelotrichaceae,Heliobacteriaceae,Enterococcaceae,Carnobacteriaceae,Peptostreptococcaceae,Nocardiaceae,Prevotellaceae,Lumbricoplasmataceae,Rhodobacteraceae,Actinobacteria,Staphylococcaceae,Pseudomonadaceae,Moraxellaceae,Acetobacteraceae,Hyphomicrobiaceae,Spiroplasmataceae,Alcaligenaceae,Sphingobacteriaceae,Veillonellaceae,Acidaminococcaceae,Desulfobacteraceae,Halanaerobiaceae,Alteromonadaceae,Syntrophaceae,Haloplasmataceae,Coriobacteriaceae,Bradyrhizobiaceae,Pasteurellaceae,Xanthomonadaceae,Desulfobulbaceae,Natranaerobiaceae,Myxococcaceae,Alicyclobacillaceae,Vibrionaceae,Micrococcaceae,Succinivibrionaceae,Cardiobacteriaceae,Bifidobacteriaceae,Sphingomonadaceae,Oxalobacteraceae,Microbacteriaceae,Rhizobiaceae,Comamonadaceae,Brucellaceae,Pelobacteraceae,Shewanellaceae,Listeriaceae,Syntrophomonadaceae,Cytophagaceae,Rhodospirillaceae,Solibacteraceae,Aeromonadaceae,Brevibacteriaceae,Chromatiaceae,Flavobacteriaceae,Parvularculaceae,Streptomycetaceae,Geobacteraceae,TM7,Gordoniaceae,Thermaceae,Chroococcales,Neisseriaceae,Syntrophobacteraceae,Synergistaceae,Firmicutes,Pseudomonadales,Halomonadaceae,Rickettsiaceae,Rhodocyclaceae,Marinilabiaceae,Desulfuromonadaceae,Campylobacteraceae,Pseudoalteromonadaceae,Piscirickettsiaceae,Ferrimonadaceae,Saprospiraceae,Gammaproteobacteria,Deinococcaceae,Sinobacteraceae,Corynebacteriaceae,Graciibacteraceae,Sporolactobacillaceae,Oscillatoriales,Colwelliaceae,Entomoplasmataceae,Thermosporotrichaceae,Fusobacteriaceae,Nostocaceae,Rickettsiales,Bdellovibrionaceae,Actinomycetaceae,Cellulomonadaceae,Thiotrichaceae,Thermoanaerobacterales,Alcanivoracaceae,Sphingobacteria,Oceanospirillales,Caulobacteraceae,Burkholderiales,Mycoplasmataceae,Clostridiaceae unclassified,Holophagaceae,Bacillaceae unclassified,Bacteroidaceae unclassified,Sutterellaceae,Lactobacillaceae unclassified,Leuconostocaceae,Chlorobiaceae,Acidobacteriaceae,Nitriliruptoraceae,Burkholderiaceae,Gemmatimonadaceae,Propionibacteriaceae,Coxiellaceae,Intrasporangiaceae,Rubrobacteraceae,Oceanospirillaceae,Stapylococcaceae,Oscillatoriaceae unclassified,Conexibacteraceae,Pleurocapsaceae unclassified,Thermoanaerobacteraceae unclassified,BRC1,Desulfonatronumaceae,Flammeovirgaceae,Prochlorococcaceae,Stigonemataceae unclassified,Scytonemataceae,Chroococcaceae unclassified,Methylobacteriaceae,Cryomorphaceae,Leptospiraceae,Idiomarinaceae,Nannocystaceae,Flavobacteriaceae unclassified,Thermolithobacteraceae,Helicobacteraceae,Celerinatantimonadaceae,Pasteuriaceae,Phyllobacteriaceae,Rickettsiaceae unclassified,Parachlamydiaceae,Desulfohalobiaceae,Methylococcaceae,WS3,Oscillochloridaceae,Nocardiopsaceae,Thermodesulfobiaceae,Nocardioidaceae,Puniceicoccaceae,Methylophilaceae,Hydrogenothermaceae,Acidithiobacillaceae,Cyanobacteria,Elusimicrobiaceae,Halobacteroidaceae,Dietziaceae,Hydrogenophilaceae,Bacteriovoracaceae,Sanguibacteraceae,Pseudonocardiaceae,Cyclobacteriaceae,Beijerinckiaceae,Desulfomicrobiaceae,Gallionellaceae,Nitrospinaceae,Total reads
101,1,M,60/20/20,SF09-043,TRTL_0211_1,2 kcal,LOW,5029.5,1673.6,1673.6,3.58,17.98,5.99,5.99,29.95,101_cecum_1,101_cecum,cecum,24.71,19.8,11.46,8.13,8.05,7.07,6.51,3.02,2.94,2.48,2.04,0.51,0.5,0.41,0.4,0.33,0.33,0.26,0.2,0.18,0.18,0.17,0.11,0.08,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10247
102,2,F,60/20/20,SF09-043,TRTL_0211_59,2 kcal,LOW,5029.5,1673.6,1673.6,2.93,14.75,4.91,4.91,24.56,102_cecum_1,102_cecum,cecum,13.54,25.17,8.55,9.04,14.89,6.51,2.07,0.57,8.23,0.04,0.61,2.73,0.49,0.71,1.86,0.11,0.13,0.94,0.03,1.31,0.18,0.06,0.63,0.46,0.01,0.01,0.04,0.58,0.09,0,0,0.03,0.04,0,0.04,0,0.03,0.09,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9332
103,13,M,14/29/57,SF09-061,TRTL_0211_60,2 kcal,LOW,1173.55,2426.72,4769.76,4.02,4.72,9.77,19.2,33.69,103_cecum_1,103_cecum,cecum,24.5,13.13,4.45,7.88,4.86,11.77,8.6,4.7,2.96,0,1.1,0.7,0.73,0.48,7.76,0.99,1.06,0.98,0.02,0.84,0.15,0.16,0.32,0.24,0.04,0.07,0.14,0.28,0.02,0.02,0.03,0,0.08,0.03,0.05,0,0,0.11,0.02,0,0,0.01,0.02,0,0,0,0,0,0,0.04,0,0,0,0,0,0.09,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.52,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41466
104,79,M,23/38/38,SF09-070,TRTL_0211_4,2 kcal,LOW,1927.97,3179.84,3179.84,4.03,7.78,12.83,12.83,33.43,104_cecum_1,104_cecum,cecum,16.72,15.72,7.1,9.16,10.88,6.31,3.07,1.39,3.07,3.72,0.44,1.55,0.38,0.44,10.49,4.62,0.16,0.33,0.33,1.22,0.08,0.46,0.22,0.03,0,0.16,0.03,0.16,1.36,0.05,0,0,0.03,0,0,0.03,0,0.03,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3678
105,8,F,33/48/20,SF09-052,TRTL_0211_61,2 kcal,LOW,2766.23,4016.64,1673.6,3.44,9.53,13.83,5.77,29.13,105_cecum_1,105_cecum,cecum,8.94,9.23,30.66,9.08,18.28,8.24,6.19,0.55,3.08,0,0.77,0.68,0.81,0.25,1.03,0.68,0.47,0.18,0.03,0.07,0.22,0.07,0.08,0.04,0,0.07,0,0.09,0.03,0.05,0,0.04,0.03,0.01,0,0,0,0.01,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11043
106,10,F,33/20/48,SF09-055,TRTL_0211_6,2 kcal,LOW,2766.23,1673.6,4016.64,3.99,11.03,6.68,16.02,33.73,106_cecum_1,106_cecum,cecum,14.47,14.45,5.53,6.86,23.55,4.25,3.46,0.3,7.91,0,0.77,2,0.1,0.22,10.28,3.29,0.07,0.22,0.23,0.29,0.18,0.55,0.01,0,0.16,0.1,0,0.26,0.08,0.01,0.03,0.2,0,0.01,0,0.04,0,0.01,0.03,0,0.01,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7663
107,14,F,14/29/57,SF09-061,TRTL_0211_7,2 kcal,LOW,1173.55,2426.72,4769.76,3.73,4.38,9.06,17.81,31.25,107_cecum_1,107_cecum,cecum,46.61,6.25,5.36,2.94,10.05,4.26,1.31,0.88,3.37,0.01,0.65,0.25,0.1,0.07,16.21,0.01,0.23,0.14,0,0.07,0.11,0.13,0.01,0.02,0.06,0.09,0,0.09,0,0.18,0,0.41,0,0.04,0,0.01,0,0.03,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16729
108,16,F,14/57/29,SF09-064,TRTL_0211_62,2 kcal,LOW,1173.55,4769.76,2426.72,3.4,3.99,16.21,8.25,28.45,108_cecum_1,108_cecum,cecum,15.45,9.6,0.02,5.92,28.82,6.83,3.89,0.82,6.44,0.74,0.69,3.96,0.41,0.17,11.7,2.26,0,0.21,0,0.47,0.13,0.07,0.03,0.05,0.4,0.07,0.03,0.29,0.01,0,0.02,0.15,0.01,0.03,0,0,0,0.07,0,0,0,0,0.02,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7883
109,18,F,42/29/29,SF09-067,TRTL_0211_63,2 kcal,LOW,3520.65,2426.72,2426.72,3.35,11.81,8.14,8.14,28.09,109_cecum_1,109_cecum,cecum,15.42,16.73,8.4,6.5,18.94,13.79,1.55,0.38,9.6,0,0.59,0.57,0.63,0.15,1.93,3.09,0,0.15,0,0.29,0.06,0.07,0.16,0.09,0.01,0.04,0.03,0.12,0.1,0.31,0,0,0.01,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10054
110,20,F,23/38/38,SF09-070,TRTL_0211_10,2 kcal,LOW,1927.97,3179.84,3179.84,3.69,7.11,11.72,11.72,30.55,110_cecum_1,110_cecum,cecum,16.64,11.44,11,6.95,18.43,9.81,4.55,0.2,4.67,3.88,1.09,0.48,0.16,0.27,4.18,3.57,0,0.16,0.32,0.58,0.05,0.28,0.04,0.04,0.03,0.11,0,0.08,0.62,0,0.01,0.09,0.01,0.01,0.03,0.01,0,0.05,0.08,0,0.01,0,0.04,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7917
